id,created_at,full_text,hour,weekday,week,month,mentions_engie,critical_tweet
"1,77E+18",2024-03-22 00:00:00+00:00,"@ENGIEpartFR @maison_travaux Comment se fait-il que🔥gazinière a une odeur jamais observée les années auparavant ? J'aimerai explication ?\nidem chauffage🔥qualité diluée et,compteur tourne pareil ? @60millions @UFCquechoisir\nLes jeunes de- de 30a ne peuvent savoir, avant EDF-GDF tenait sur la même facture...",7,Friday,2024-03-18/2024-03-24,2024-03,True,True
"1,77E+18",2024-03-22 00:00:00+00:00,Bonjour.\nC'est vous @ENGIEpartFR ou @ENGIEpartSAV au bout de ce numéro ?? Ou est ce une arnaque qui tente de se faire passer pour vous ??\n\nMerci pour votre retour rapide. https://t.co/5gAD21WgMd,14,Friday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-23 00:00:00+00:00,"@ENGIEpartSAV Bonjour,\nCe n'était pas le sens de ma question.\n\nReconnaissez vous dans ce sms, vos methodes ? Votre numero de téléphone ? Dois je faire confiance a ce sms ??\n\nSur certains sites, le numéro de téléphone est associé a des arnaques / démarchage... D'ou ma question...",11,Saturday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-23 00:00:00+00:00,"Et bien sûr en ce moment, je n'ai d'aide de personne ya pas un chèque énergie @ENGIEpartFR , je me fait allumer tout les mois à payer 100 balles ,c'est plus possible c'est trop cher ...",21,Saturday,2024-03-18/2024-03-24,2024-03,True,False
"1,77E+18",2024-03-25 00:00:00+00:00,"Comment payé sa la , alors que mon frigo est vide @ENGIEpartFR ? Le prix augmente tout le temps, moi je n'y arrive pas https://t.co/PegqPAGgMc",8,Monday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-25 00:00:00+00:00,@ENGIEpartFR qui vous communique des plages horaires d'heures creuses lors de la souscription du contrat élec et quelques mois plus tard se rendre compte qu'elles ne sont pas prises en compte. Réécoutez l'appel et vous verrez bien que vous êtes des escrocs !,12,Monday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-25 00:00:00+00:00,@ENGIEgroup pire fournisseur d’électricité !  4 mois de démarches et ils annulent un contrat alors que je demande juste une mensualisation. \nJe me retrouve sans contrat depuis 2 mois et sans justificatif de domicile ni rien… \n« On vous recontacte dans deux semaines »,12,Monday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-26 00:00:00+00:00,"@ENGIEpartFR @la_csf Vous n'en avez pas marre de mettre le couteau sous la gorge de vos clients ? Sans parler du service client qui essaie soit de nous faire culpabiliser ou nous arnaquer. On a jamais eu droit au bouclier énergie, vous êtes une source d'anxiété immense dans mon foyer. JE ME TIRE. https://t.co/TDEl0GFiAN",14,Tuesday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-26 00:00:00+00:00,"@ENGIEpartFR @la_csf awi, et vous ne vous gênez pas pour nous enterrer un peu + en me balançant un mail pour m'annoncer que vous ajoutez 213 euros à nos mensualités bah en fait c'est non bye 🧳👋",14,Tuesday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-27 00:00:00+00:00,"In a stalemate since 12 dec with @ENGIEpartFR and @GRDF - ""smart"" gas meter is miscalibrated &amp; they require ME to fix it? 12+ hours in customer service calls and we are still not fixed. Keep saying they will ""fait le necessaire"" but then cancel each other's service calls - HELP!",7,Wednesday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-27 00:00:00+00:00,"@ENGIEpartFR Êtes vous sûr de vos données ?\nSi je reçois une facture plus élevée, il me faudra des explications. https://t.co/o0OkeQcm96",8,Wednesday,2024-03-25/2024-03-31,2024-03,True,True
"1,77E+18",2024-03-27 00:00:00+00:00,@ENGIEpartFR J'ai regardé en détail et c'est la facture d'instalation. Mais ça fait peur 😭 Ça va pas de dire qu'il y a eu un échange alors que non ?,15,Wednesday,2024-03-25/2024-03-31,2024-03,True,True
"1,77E+18",2024-03-27 00:00:00+00:00,"@ENGIEpartFR @GRDF \n\nALERTE NE PAS CHOISIR CETTE ENTREPRISE POUR LE CHANGEMENT DE GAZ OBLIGATOIRE !\nNous sommes privés d’eau chaude et de chauffage depuis ce vendredi 23/03 à 16h , il fait 16° chez moi.\nGRDF mandate cette entreprise pour effectuer les réglages nécessaire https://t.co/2t0OgFnZA4",16,Wednesday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-28 00:00:00+00:00,@ENGIEpartFR qui coupe mon contrat d’électricité et de gaz 2 semaine trop tôt! Quelle honte !!! Je le retrouve avec un bb sans gaz et sans électricité ! Mon frigo plein qui va finir à la poubelle! Je fonce déposer une plainte immédiate,7,Thursday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-03-30 00:00:00+00:00,"@ENGIEpartFR bonjour, je souhaiterai voir pour basculer l’électricité chez vous, vous pouvez vous me donner une estimation mensuelle svp?",16,Saturday,2024-03-25/2024-03-31,2024-03,True,False
"1,77E+18",2024-01-04 00:00:00+00:00,"Bon @ENGIEpartFR vous m'avez augmenté à 75€ de facture sur quelle base d'estimation ? Le mois de janvier était celui où j'ai le plus consommé (60€ abonnement compris)... Donc faut expliquer où comment vous faites vos estimations, je serais heureuse de le savoir... https://t.co/q4xqgq95Fd",20,Monday,2024-01-01/2024-01-07,2024-01,True,True
"1,78E+18",2024-02-04 00:00:00+00:00,@ENGIEpartSAV en revanche je peux planifier un rdv pour le 17 avril si je crée un nouveau contrat ! Une honte !!!!,11,Tuesday,2024-01-29/2024-02-04,2024-02,True,False
"1,78E+18",2024-02-04 00:00:00+00:00,C'est beau @ENGIEpartFR de faire appel aux étrangers pour gérer les appels. Mais on fait quoi quand ils sont incapables de comprendre la demande et nous renvoient même pas vers quelqu'un qui comprend mieux et raccrochent ? 😡,15,Tuesday,2024-01-29/2024-02-04,2024-02,True,False
"1,78E+18",2024-02-04 00:00:00+00:00,Le daron a souscrit un contrat d'entretien PAC chez @ENGIEpartSAV. Dans ce thread je vous partage ses galères..\n🧵,17,Tuesday,2024-01-29/2024-02-04,2024-02,True,False
"1,78E+18",2024-02-04 00:00:00+00:00,"Du coup, deux jours après la visite de routine du technicien, le daron est à l'eau froide et gère la régulation thermique de sa maison au disjoncteur. Merci @ENGIEpartSAV",17,Tuesday,2024-01-29/2024-02-04,2024-02,True,False
"1,78E+18",2024-03-04 00:00:00+00:00,"@geoffjentry @ENGIEpartSAV Still no power, my 6 year old has now fallen sick, and today @ENGIEpartSAV tells me no, @GRDF says no problem with my ""smart"" meter so they won't do anything for me until I pay 3000 euro more. They will not confirm the meter - seems their system will not let them see my photos.",10,Wednesday,2024-03-04/2024-03-10,2024-03,True,False
"1,78E+18",2024-03-04 00:00:00+00:00,"@ENGIEpartFR \nVous trouvez ça normal d’avoir 2000€ de régularisation de octobre 2023 à mars 2024 en ayant 60m2 et ne chauffant que le strict minimum. Des voleurs pareil JAMAIS VU !!! Personnel au téléphone incompétente, on mange des cailloux le mois prochain ??",14,Wednesday,2024-03-04/2024-03-10,2024-03,True,False
"1,78E+18",2024-03-04 00:00:00+00:00,@ENGIEpartFR 17h40 j'attends depuis 13h le gars qui dois venir faire l'entretien de la chaudière....,15,Wednesday,2024-03-04/2024-03-10,2024-03,True,False
"1,78E+18",2024-03-04 00:00:00+00:00,@ENGIEpartFR vous êtes vous fait pirater vos données ou bien vendez vous nos Datas ? \nJe reçois plein de sms de numéros non commerciaux et la façon dont ils m’interpellent ( noms accolés de la colloc ) il n’y a que chez vous que je suis enregistrée ainsi. C’est juste intolérable,16,Wednesday,2024-03-04/2024-03-10,2024-03,True,False
"1,78E+18",2024-03-04 00:00:00+00:00,"Bravo  @ENGIEpartFR,  vous êtes tellement des escrocs.  . Entre juin 2023 et aujourd'hui, je vous ai appelé 17 fois. 17 fois on m'a promis de me rapeller pour régler ma situation. Ça n'est jms arrivé. Aucun respect pour vos clients.   #engie #escroquerie #mensonge",17,Wednesday,2024-03-04/2024-03-10,2024-03,True,False
"1,78E+18",2024-04-04 00:00:00+00:00,"@ENGIEpartFR donc envie définitivement classer dans la catégorie voleur? Une telle facture pour ma mère en invalidité , donc même pas sûr de pouvoir la payer. Pour un kilowattheure à 0,40!!!\nJamais avertis via le site ( site qui parle de 0,21) merci au service client pareil! https://t.co/Wq4blhHvdC",5,Thursday,2024-04-01/2024-04-07,2024-04,True,True
"1,78E+18",2024-04-04 00:00:00+00:00,"@ENGIEpartFR A fuir bande d’incompétents. J'étais mensualisé et Engie a arrêté sans raison la mensualisation à la fin j' ai eu une grosse facture à payer. pour compenser Engie m' a promis un geste commercial baisse de 25,00€ que je n' ai jamais reçu",9,Thursday,2024-04-01/2024-04-07,2024-04,True,True
"1,78E+18",2024-05-04 00:00:00+00:00,"@cathmacgregor @ENGIEChile @ENGIEgroup SANS UN APPEL d'UN RESPONSABLE, je CONSIDERE ENGIE COMME UNE BOITE MAFIEUSE !! j'insiste MAFIEUSE !! je répète MAFIEUSE (déjà condamnée ...)",8,Friday,2024-04-29/2024-05-05,2024-05,True,False
"1,78E+18",2024-06-04 00:00:00+00:00,"Facture exorbitante d'électricité de ma fille étudiante. J'appelle @ENGIEpartFR pour essayer de comprendre. Zéro détail, zéro explication à part un cours théorique sur le KwH. Je demande un détail conso, on me dit que ça coûte 2€ par mois...",8,Saturday,2024-06-03/2024-06-09,2024-06,True,True
"1,78E+18",2024-07-04 00:00:00+00:00,Bonjour @ENGIEpartFR pouvez vous m'expliquer s'il vous plait à quoi correspondent les gros pics de consommation d'electricité que j'ai en journée vers 18h00 et 21h00?\nJ'ai juste un frigo qui consomme en continue et un ordinateur qui fait de meme (sauf la nuit) https://t.co/nzj3WTwox5,18,Sunday,2024-07-01/2024-07-07,2024-07,True,False
"1,78E+18",2024-08-04 00:00:00+00:00,"C'est qui ce +33662563637 qui prétend être mon fournisseur d'énergie mais ignore où j'habite ? Et qui en plus me parle d'aide aux panneaux photovoltaïques alors que @ENGIEpartFR sait que j'habite en HLM ? Bref, N° bloqué mais #Bloctel pourrait m'éviter d'avoir a le faire 😡",10,Monday,2024-07-29/2024-08-04,2024-08,True,True
"1,78E+18",2024-08-04 00:00:00+00:00,"Le prix au kWh a été multiplié par 2 (et même par un peu plus que 2 pour les heures creuses). @ENGIEpartFR vous êtes des voleurs, mais comme nous avons également un gouvernement de voleurs, c'est logique qu'il vous laisse faire.",14,Monday,2024-07-29/2024-08-04,2024-08,True,False
"1,78E+18",2024-08-04 00:00:00+00:00,"@ENGIEpartFR \n\nBonjour , le 01/02/2024 ,nous avons eu la désagréable surprise de voir le prix du kwh d électricité de mon contrat passer de 0,20e ttc à 0,37euros soit presque 100% d augmentation et cela sans nous alerter ni par téléphone et par mail).",15,Monday,2024-07-29/2024-08-04,2024-08,True,False
"1,78E+18",2024-09-04 00:00:00+00:00,"Salut @ENGIEpartFR , j’entame mon 12eme jour sans électricité, j’suis Jiri Prochazka moi ?",10,Tuesday,2024-09-02/2024-09-08,2024-09,True,False
"1,78E+18",2024-09-04 00:00:00+00:00,"@ENGIEpartFR @ENGIEgroup , est ce normal de poireauter 2 x 25 minutes sur le 0969321953 (3 minutes annoncées) tout ça pour modifier un nom sur un contrat. Ah oui nous avons été sur notre espace personne. Service clients aux abonnés absents.",16,Tuesday,2024-09-02/2024-09-08,2024-09,True,False
"1,78E+18",2024-10-04 00:00:00+00:00,"@ENGIEpartFR merci de dire à vos démarcheurs sur Le Mans d'arrêter de se faire passer pour des agents d'entretien du réseau électrique.\nJe ne suis pas chez vous pour l'électricité et je ne compte à souscrire à vos pseudos ""offres bouclier tarifaire"".\nLa malhonnêteté est dingue.",12,Wednesday,2024-09-30/2024-10-06,2024-10,True,False
"1,78E+18",2024-11-04 00:00:00+00:00,"Merci ⁦@ENGIEpartFR⁩ sa devient du luxe.faire à mangé,laver eau https://t.co/0yoEk9Ukpm prépare les bougies 🕯️🕯️🕯️🥵 https://t.co/pLzK9uyk8w",15,Thursday,2024-11-04/2024-11-10,2024-11,True,False
"1,78E+18",2024-11-04 00:00:00+00:00,Super quand tu reçois une facture de régularisation de 850 euros de la part de @ENGIEpartFR avec des mensualisations qui montent de 130 euros à 275 euros par mois ... Tu m'étonne que des gens se retrouvent SDF du jour au lendemain @zoesagan Et le Bouclier Tarifaire dans tout ça ?,16,Thursday,2024-11-04/2024-11-10,2024-11,True,True
"1,78E+18",2024-12-04 00:00:00+00:00,"@ENGIEpartFR ils sont forts quand même, ils ont souscrit d'eux-mêmes un contrat à mon nom (alors que je suis chez @EDFofficiel) et là ils me mettent en recouvrement alors que j'ai jamais été client chez eux.\n\nEt la meuf au téléphone a le culot de me dire ""ça va 100€ c'est rien)",12,Friday,2024-12-02/2024-12-08,2024-12,True,False
"1,78E+18",2024-04-15 00:00:00+00:00,@ENGIEpartFR bonjour comment faire étant client et obligé de partir à l'étranger S. V. P. (Clouturer le service) Merci,9,Monday,2024-04-15/2024-04-21,2024-04,True,False
"1,78E+18",2024-04-15 00:00:00+00:00,Janvier 286 kw/h 66€\nMars 246 kw/h 69€ \n\n@ENGIEpartFR ?????,21,Monday,2024-04-15/2024-04-21,2024-04,True,False
"1,78E+18",2024-04-16 00:00:00+00:00,@ENGIEpartFR \nFuyez société d'incompétents.  Suite à une erreur de facturation  Engie m' avait promis de faire un geste commercial et il ne l' a jamais tenu Un conseil\nallez chez Vattenfal qui 5% moins cher et le service client est plus compétent Vérifiez avec Hello Watt,6,Tuesday,2024-04-15/2024-04-21,2024-04,True,False
"1,78E+18",2024-04-16 00:00:00+00:00,@ENGIEpartFR  Comment un contrat de particulier peut être résilié sans le consentement ni aucune faute de sa part? \n#Erreur #Énergie #LenteurCognitive,8,Tuesday,2024-04-15/2024-04-21,2024-04,True,False
"1,78E+18",2024-04-16 00:00:00+00:00,"@vince_b29 @ENGIEpartFR @UFCquechoisir Bonjour,\nJe suis dans la même merde, 2 mois que je paye une augmentation avec un prix qui passe de 0.20 à 0.38 sans avertissement. Avez vous trouvez un recours ou juste résilier ?\nMerci à vous",14,Tuesday,2024-04-15/2024-04-21,2024-04,True,False
"1,78E+18",2024-04-17 00:00:00+00:00,@ENGIEpartFR Fuyez Engie nul à chier\nJ'ai une très petite retraite j'avais demandé la mensualisation tout allez bien quand Engie a subitement arrêté la mensualisation. Au bout d'un an j' ai eu une énorme facture à payer d' un coup.\nSociété d' incompétents,7,Wednesday,2024-04-15/2024-04-21,2024-04,True,True
"1,78E+18",2024-04-17 00:00:00+00:00,Ah ouais .. le service client @ENGIEpartFR c’est quelques choses de dingue ! 😅\n\nUn service à la hauteur de leur connerie pfff https://t.co/NLd6H6n3ZU,16,Wednesday,2024-04-15/2024-04-21,2024-04,True,False
